,"Найменування об’єкта (заходу), його місцезнаходження",Обсяг субвенції тис. Гривень
Вінницька область,"Будівництво дороги місцевого значення на відрізку с. Краснопілка - с. Нараївка, Гайсинський район","1694,7"
Вінницька область,"Відновлення вуличного освітлення вулиць Б. Хмельницького, Шевченка, Сонячної, Першотравневої, Української, Жовтневої, Світанкової, Ювілейної, с. Кунка Гайсинського району","99,7"
Вінницька область,"Проведення заходів з благоустрою на території громади, с. Бубнівка Гайсинського району","69,8"
Вінницька область,"Встановлення вікон у Ярмолинецькій середній загальноосвітній школі I-II ступеня по вул. Жовтневій, 20, с. Ярмолинці Гайсинського району","64,8"
Вінницька область,"Встановлення вікон у Гунчанській середній загальноосвітній школі I-II ступеня по вул. Українській, 5, с. Гунча Гайсинського району","59,8"
Вінницька область,"Встановлення вікон у Бджільнянській загальноосвітній школі I-II ступеня по вул. Дем’янишина, с. Бджільна Теплицького району","99,7"
Вінницька область,"Ремонт системи опалення будинку культури по вул. Центральній, 1, с. Велика Мочулка Теплицького району","99,7"
Вінницька область,"Будівництво тротуарів від будівлі Залузької сільської ради до Залузької загальноосвітньої школи I-II ступеня по вул. Центральній, 1, с. Залужжя Теплицького району","99,7"
Вінницька область,"Ремонт системи опалення Кивачівського будинку культури по вул. Молодіжній, 3, с. Кивачівка Теплицького району","99,7"
Вінницька область,"Встановлення вікон у Соболівській дитячій музичній школі по вул. Центральній, 3, с. Соболівка Теплицького району","99,7"
Вінницька область,"Ремонт будівлі будинку культури по вул. 30-річчя Перемоги, 1, с. Ілляшівка Тростянецького району",1296
Вінницька область,"Проведення заходів із благоустрою території Тростянецької дитячої музичної школи по вул. Соборній, 54, смт Тростянець","199,4"
Вінницька область,"Ремонт Торканівського фельдшерсько-акушерського пункту по вул. Юності, с. Торканівка Тростянецького району","99,7"
Вінницька область,"Встановлення вікон у Новоободівській середній загальноосвітній школі I-III ступеня по вул. Шкільній, 1, с. Нова Ободівка Тростянецького району","99,7"
Вінницька область,"Заміна покрівлі Ободівського краєзнавчого музею по вул. Дружби, 2, с. Ободівка Тростянецького району","69,8"
Вінницька область,"Встановлення вікон у Гордіївському дошкільному навчальному закладі по вул. Леніна, с. Гордіївка Тростянецького району","69,8"
Вінницька область,"Встановлення вікон у Олександрівській середній загальноосвітній школі I-III ступеня по вул. Соборній, 30в, с. Олександрівка Тростянецького району","69,8"
Вінницька область,"Встановлення вікон у Будянській середній загальноосвітній школі I-III ступеня по вул. Незалежності, с. Буди Тростянецького району","59,8"
Вінницька область,"Встановлення вікон у Тростянецькій дитячій музичній школі по вул. Соборній, 54, смт Тростянець","59,8"
Вінницька область,"Встановлення вікон та дверей у Козинецькому дошкільному навчальному закладі “Дзвіночок” по вул. Миру, 118, с. Козинці Тростянецького району","49,8"
Вінницька область,"Встановлення дитячого майданчика у Летківському дошкільному навчальному закладі “Пролісок” по вул. Центральній, 144, с. Летківка Тростянецького району","49,8"
Вінницька область,"Встановлення вікон в Оляницькій середній загальноосвітній школі I-III ступеня по вул. Соборній, 43, с. Оляниця Тростянецького району","49,8"
Вінницька область,"Встановлення дитячого майданчика в Тростянчицькому дошкільному навчальному закладі яслах-садку загального розвитку по вул. Шевченка, 4, с. Тростянчик Тростянецького району","49,8"
Вінницька область,"Проведення заходів з облаштування навчальних класів Летківської середньої загальноосвітньої школи I-III ступеня по вул. Центральній, 138, с. Летківка Тростянецького району","29,9"
Вінницька область,"Капітальний ремонт фасадів з заміною віконних блоків дошкільного навчального закладу “Дзвіночок” по вул. Процишина, 22 м. Ладижин Вінницької обл.","99,7"
Вінницька область,"Будівництво системи водопостачання, с. Білопілля Козятинського району",1510
Вінницька область,"Реконструкція водопровідної мережі, с. Комсомольське (с. Махнівка) Козятинського району",1490
Вінницька область,"Перехід на альтернативні джерела опалення навчально-виховного комплексу “ЗШ I-III ступеня - дошкільний навчальний заклад”, с. Томашпіль Хмільницького району",400
Вінницька область,"Капітальний ремонт дороги по вул. Новоселиця, с. Березна Хмільницького району",990
Вінницька область,"Капітальний ремонт будинку культури, с. Широка Гребля Хмільницького району",1000
Вінницька область,"Капітальний ремонт дороги по вул. Грушевського, с. Соколова Хмільницького району",700
Вінницька область,"Капітальний ремонт ділянок дороги по вулицях І. Богуна, М. Коцюбинського, Вишнева с. Томашпіль Хмільницького району",910
Вінницька область,"Заміна віконних блоків, підсилення, реконструкція будівлі, утеплення фасаду Корделівської середньої загальноосвітньої школи I-III ступеня, Калинівський район",1500
Вінницька область,"Заміна віконних блоків, реконструкція будівлі, утеплення фасаду Комунарівської середньої загальноосвітньої школи I-III ступеня, Калинівський район",700
Вінницька область,"Заміна віконних блоків, реконструкція будівлі, утеплення фасаду Уладівської середньої загальноосвітньої школи I-III ступеня, Калинівський район",800
Вінницька область,"Заміна віконних блоків, реконструкція будівлі, утеплення фасаду Гущинецької середньої загальноосвітньої школи I-III ступеня, Калинівський район",600
Вінницька область,"Заміна віконних блоків, реконструкція будівлі, утеплення фасаду Сальницької середньої загальноосвітньої школи I-III ступеня, Калинівський район",400
Вінницька область,"Капітальний ремонт міського будинку культури по вул. 50 років Жовтня, 212, м. Бершадь Бершадського району","580,751"
Вінницька область,"Будівництво розподільчих мереж господарчо-питного водогону по вулицях Леніна, Щорса, Чапаєва, Фрунзе в с. Сошанське Козятинського району Вінницької області","206,272"
Вінницька область,"Будівництво вуличних мереж господарчо-питного водогону по вулицях Леніна, Б. Мельників, Перемоги, Гагаріна, Шевченка с. Сошанське Козятинського району Вінницької області","199,201"
Вінницька область,"Будівництво розподільчих мереж господарчо-питного водогону по вулицях Б. Лопушанів, Шевченка, Пирогова, Ватутіна та частини вул. Захисників Вітчизни в с. Зозулинці Козятинського району Вінницької області","194,947"
Вінницька область,"Будівництво розподільчих мереж господарчо-питного водогону по вулицях Коцюбинського, Лугова, Зарічна та частини вул. Захисників Вітчизни в с. Зозулинці Козятинського району Вінницької області","246,759"
Вінницька область,Капітальний ремонт дорожнього покриття вул. Комарова та частини вул. Леніна смт Муровані Курилівці Мурованокуриловецького району Вінницької області,2500
Вінницька область,Капітальне будівництво спортивного майданчика в с. Лаврівка Вінницького району Вінницької області,150
Вінницька область,Будівництво вуличного освітлення по вул. Мирна в с. Зарванці Вінницького району Вінницької області,600
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Лесі Українки, с. Липчани Могилів-Подільського району",197
Вінницька область,"Капітальний ремонт дорожнього покриття вул. Молодіжна, с. Липчани Могилів-Подільського району",76
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Шевченка, с. Козлів Могилів-Подільського району",129
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Коцюбинського, с. Козлів Могилів-Подільського району",131
Вінницька область,"Встановлення дитячого майданчика у Кузьминецькій середній загальноосвітній школі I-III ступенів по вул. 1 пров. Слобода, 4, с. Кузьминці Гайсинського району","59,8"
Вінницька область,"Будівництво водопроводу, с. Важне Степанівської сільської ради Теплицького району","99,7"
Вінницька область,"Реконструкція центральної площі по вул. Соборній, смт Тростянець","1493,8"
Вінницька область,"Реконструкція прилеглої паркової зони до центральної площі по вул. Соборній, смт Тростянець",500
Вінницька область,"Реконструкція дошкільного навчального закладу (ясла-садок) “Пролісок” із застосуванням заходів теплореновації (заміна вікон та дверей) по вул. Леніна, 205 у м. Немирів Вінницької області","349,4"
Вінницька область,"Реконструкція дошкільного навчального закладу (ясла-садок) № 4 “Сонечко” із застосуванням заходів теплореновації (заміна вікон та дверей) по вул. Луначарського, 18А у м. Немирів Вінницької області","465,7"
Вінницька область,"Капітальний ремонт дорожнього покриття по вул. Залізної Дивізії (від перехрестя з вул. Б. Хмельницького до перехрестя з вул. Тургенева) в смт Крижопіль, Крижопільського району, Вінницької області",683
Вінницька область,"Реконструкція приміщення СЗШ I-III ступенів № 2 імені воїна-інтернаціоналіста С.В. Гаврилюка смт Крижопіль, вул. Б. Хмельницького 2, Крижопільського району, Вінницької області, (I черга, покрівля)",1450
Вінницька область,"Капітальний ремонт системи опалення в приміщенні комунального закладу “Піщанська дитячо-юнацька спортивна школа по вул. Центральній, 44 у смт Піщанка Піщанського району Вінницької області”",166
Вінницька область,"Капітальний ремонт будівлі міського будинку дитячої та юнацької творчості по вул. Свободи, буд. 130 в місті Ямпіль Вінницької області",899
Вінницька область,Завершення будівництва середньої школи в с. Зведенівка Шаргородського району Вінницької області,3000
Вінницька область,Реконструкція будівель поліклініки під дитячий садок по вул. Леніна в смт Шпиків Тульчинського району Вінницької області,2000
Вінницька область,"Капітальний ремонт гінекологічного відділення Вінницької центральної районної клінічної лікарні по Хмельницькому шосе, 92 в м. Вінниця","1880,3"
Вінницька область,"Будівництво мереж центрального водопостачання по вул. Радянській, вул. Шевченка, вул. Б. Хмельницького, вул. Польовій в с. Стадниця, Вінницького району, Вінницької області",350
Вінницька область,"Капітальний ремонт даху СЗШ I-II ступенів в с. Сокиринці, Вінницького району, Вінницької області",452
Вінницька область,"Вибірковий капітальний ремонт покриття тротуару та облаштування автобусної зупинки по вулиці Тиврівське шосе, біля залізничного переїзду, в с. Лука Мелешківська, Вінницького району, Вінницької області","317,7"
Вінницька область,Вибірковий капітальний ремонт покриття тротуарів в м. Ладижин Вінницької області,1550
Вінницька область,Закупівля медичного обладнання для консультативно-діагностичної поліклініки смт Теплик (Вінницька область),1180
Вінницька область,"Реконструкція інфекційного відділення Бершадської ОЛІЛ по вул. Будкевича, 2 в м. Бершадь, Вінницької області",800
Вінницька область,Завершення будівництва будівлі дошкільного дитячого закладу по вулиці Першотравнева в селі Степашки Гайсинського району Вінницької області,600
Вінницька область,Ремонт під’їзної дороги в с. Митків Гайсинського району Вінницької області,300
Вінницька область,"Реконструкція котельні ЗОШ I-II ступенів в с. Залужжя, Теплицького району, Вінницької області з встановленням твердопаливного котла BRS-100",100
Вінницька область,Ремонт під’їзних доріг до сіл Семирічка та Рахни Гайсинського району Вінницької області,100
Вінницька область,"Реконструкція котельні ЗОШ I-II ступенів в с. Кивачівка, Теплицького району, Вінницької області з встановленням твердопаливного котла BRS-100",100
Вінницька область,"Реконструкція опалювального пункту ЗОШ I-II ступенів в с. Стражгород, Теплицького району, Вінницької області з встановленням твердопаливного котла BRS-100",100
Вінницька область,Відновлення ставка с. Мар’янівка (Кунянська сільська рада Гайсинського району Вінницької області),90
