,"Найменування об’єкта (заходу), його місцезнаходження",Обсяг субвенції тис. Гривень
Черкаська область,"Придбання та монтаж дитячого майданчика для дошкільного навчального закладу “Вишенька”, Малостаросільська сільська рада Смілянського району",60
Черкаська область,"Придбання та монтаж дитячого майданчика, с. Чубівка, Носачівська сільська рада Смілянського району",60
Черкаська область,"Придбання та монтаж дитячого майданчика, Плескачівська сільська рада Смілянського району",60
Черкаська область,"Реконструкція вуличного освітлення по вул. Центральна (ТП-181), с. Попівка, Попівська сільська рада Смілянського району",41
Черкаська область,Придбання мультимедійних засобів навчання для Ротмістрівської загальноосвітньої школи I-III ступенів Смілянської районної ради Черкаської області,25
Черкаська область,"Реконструкція вуличного освітлення по вул. Шевченка (ТП-273), Санжариська сільська рада Смілянського району",88
Черкаська область,"Придбання та монтаж дитячого майданчика, Сердюківська сільська рада Смілянського району",60
Черкаська область,"Реконструкція вуличного електроосвітлення Л-1; Л-2 ТП-84, Л-1; Л-3 ТП-235 с. Сердюківка, Сердюківська сільська рада Смілянського району",88
Черкаська область,Придбання мультимедійних засобів навчання для Сунківської загальноосвітньої школи I-III ступенів Смілянської районної ради Черкаської області,25
Черкаська область,"Придбання та монтаж дитячого майданчика, Ташлицька сільська рада Смілянського району",60
Черкаська область,"Придбання та монтаж дитячого майданчика, смт Ірдинь, Білозірська сільська рада Черкаського району",60
Черкаська область,"Капітальний ремонт вуличного освітлення по вул. Братів Селянків від ТП-241, с. Вергуни, Вергунівська сільська рада Черкаського району",33
Черкаська область,"Капітальний ремонт вуличного освітлення по вул. Братів Батюшинських, вул. Братів Турчинів та вул. Чайковського, від ТП-237, с. Вергуни, Вергунівська сільська рада Черкаського району",38
Черкаська область,"Капітальний ремонт вуличного освітлення в с. Нечаївка по вул. Братів Скубів, Вергунівська сільська рада Черкаського району",60
Черкаська область,"Капітальний ремонт вуличного освітлення по вул. Перемоги в с. Вергуни від ТП-365, по вул. Шевченка в селі Нечаївка від ТП-365, по вул. Перемоги від ТП-397 в с. Вергуни, Вергунівська сільська рада Черкаського району",48
Черкаська область,"Придбання та монтаж дитячого майданчика, с. Нечаївка, Вергунівська сільська рада Черкаського району",60
Черкаська область,"Придбання та монтаж спортивного майданчика, Дубіївська сільська рада Черкаського району",60
Черкаська область,"Придбання та монтаж дитячого майданчика, Думанецька сільська рада Черкаського району",60
Черкаська область,"Придбання та монтаж дитячого майданчика, с. Чубівка, Думанецька сільська рада Черкаського району",60
Черкаська область,"Капітальний ремонт покрівлі дошкільного навчального закладу “Чайка”, Леськівська сільська рада Черкаського району",300
Черкаська область,"Капітальний ремонт із встановлення електроопалення у будинку культури, Сагунівська сільська рада Черкаського району",100
Черкаська область,"Придбання мультимедійних засобів навчання для дошкільного навчального закладу “Пролісок”, Сагунівська сільська рада Черкаського району",25
Черкаська область,Будівництво господарського приміщення ДНЗ “Яблунька” в с. Степанки Черкаського району Черкаської області,250
Черкаська область,"Придбання та монтаж дитячого майданчика, Хацьківська сільська рада Черкаського району",60
Черкаська область,Капітальний ремонт м’якої покрівлі будівлі Смілянської загальноосвітньої школи I-III ступенів № 4 Смілянської міської ради Черкаської області,114
Черкаська область,Капітальний ремонт спортивної зали будівлі Смілянської загальноосвітньої школи I-III ступенів № 7 Смілянської міської ради Черкаської області,387
Черкаська область,Придбання мультимедійних засобів навчання для Смілянського навчально-виховного комплексу “Загальноосвітня школа I ступеня - гімназія імені В.Т. Сенатора” Смілянської міської ради Черкаської області,30
Черкаська область,Придбання мультимедійних засобів навчання для Смілянської спеціалізованої школи I-III ступенів № 5 Смілянської міської ради Черкаської області,28
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. Кармелюка, 74, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. 40-річчя Перемоги, 8, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. Соборна, 75, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. Рєпіна, 51, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. Незалежності, 85, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячих майданчиків по вул. Захисників України, м. Сміла",120
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. Залевківській, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. В. Стуса, м. Сміла",60
Черкаська область,"Придбання та монтаж дитячого майданчика по вул. Мічуріна, 24, м. Сміла",60
Черкаська область,"Капітальний ремонт по заміні віконних блоків в Центрі соціальної реабілітації дітей-інвалідів “Барвінок” по вул. Філатова, 8а в м. Сміла Черкаської області",200
Черкаська область,Придбання спортивного обладнання та інвентарю для ДЮСШ Черкаської міської ради,4000
Черкаська область,Придбання електроінформаційного табло для КП “Спортивний комплекс “Будівельник” Черкаської міської ради,1000
Черкаська область,Для реалізації програми енергозбереження в закладах охорони здоров’я та освіти Золотоніського району Черкаської області,5000
Черкаська область,Капітальний ремонт Москаленківського НВК в селі Москаленки Чорнобаївського району Черкаської області,150
Черкаська область,"Реконструкція центральної котельні по вул. Комарова 5, в смт Драбів",1499
Черкаська область,"Капітальний ремонт даху Чигиринського районного будинку культури з облаштуванням м’якої утепленої покрівлі в м. Чигирин Черкаської області по вул. Б. Хмельницького, 28",1499
Черкаська область,"Технічне переоснащення із заміною частини водопровідної мережі по вулицях Набережна, Калініна, Давиденка, Чкалова, Ляшенка, провулок Ляшенка, Матросова, Польова, Щорса, Лисенка в м. Жашків Черкаської області","2621,04"
Черкаська область,Капітальний ремонт існуючого напірного колектора від КНС № 2 до очисних споруд м. Жашків Черкаської області (ділянка № 2),750
Черкаська область,"Капітальний ремонт приміщень центру первинної медико-санітарної допомоги Жашківського району по вул. Лікарняній, 19 (колишня Щорса) в м. Жашків Черкаської області","512,21"
Черкаська область,"Встановлення котлів у Лисянському дошкільному навчальному закладі (ясла-садочок) “Ромашка” по вул. Кірова, 2 в смт Лисянка Черкаської області (реконструкція)","421,12"
Черкаська область,"Капітальний ремонт з утеплення фасаду та заміною вікон на енергозберігаючі ЗОШ I-III ст. по вул. Леніна, 2 в с. Молодецьке Маньківського району в рамках проекту “Термомодернізація Молодецької ЗОШ I-III ступенів Маньківської районної ради, Черкаської облас","402,89"
Черкаська область,"Капітальний ремонт приміщення пральні Тальнівської центральної районної лікарні, м. Тальне Черкаської області","292,74"
Черкаська область,"Облаштування дитячих, спортивних майданчиків, м. Умань Черкаської області",120
Черкаська область,Капітальний ремонт вуличного освітлення в с. Старі Бабани Уманського району Черкаської області,265
Черкаська область,Капітальний ремонт вуличного освітлення в с. Затишок Уманського району Черкаської області,61
Черкаська область,Облаштування зупинок громадського транспорту в населених пунктах Уманського району,120
Черкаська область,"Облаштування дитячих, спортивних майданчиків в населених пунктах Уманського району",122
Черкаська область,Капітальний ремонт вуличного освітлення в с. Шарнопіль Монастирищенського району Черкаської області,360
Черкаська область,Капітальний ремонт вуличного освітлення в с. Лукашівка Монастирищенського району Черкаської області,377
Черкаська область,Капітальний ремонт вуличного освітлення в с. Степівка Монастирищенського району Черкаської області,102
Черкаська область,Капітальний ремонт вуличного освітлення в с. Половинчик Монастирищенського району Черкаської області,64
Черкаська область,Капітальний ремонт вуличного освітлення в с. Копіювата Монастирищенського району Черкаської області,57
Черкаська область,Облаштування зупинок громадського транспорту в населених пунктах Монастирищенського району Черкаської області,48
Черкаська область,"Облаштування дитячих, спортивних майданчиків в населених пунктах Монастирищенського району Черкаської області",67
Черкаська область,Капітальний ремонт вуличного освітлення в м. Монастирище Черкаської області,450
Черкаська область,"Облаштування дитячих, спортивних майданчиків в населених пунктах м. Монастирище Черкаської області",95
Черкаська область,"Капітальний ремонт вуличного освітлення, Шукайводська сільська рада Христинівського району Черкаської області",318
Черкаська область,Капітальний ремонт вуличного освітлення в с. Велика Севастянівка Христинівського району Черкаської області,152
Черкаська область,"Реконструкція нежитлової будівлі кінотеатру під ДЮКФП “Олімп” в м. Христинівка, Черкаська область",1162
Черкаська область,Облаштування зупинок громадського транспорту в населених пунктах Христинівського району Черкаської області,60
Черкаська область,"Облаштування дитячих, спортивних майданчиків в населених пунктах Христинівського району Черкаської області",155
Черкаська область,Капітальний ремонт вуличного освітлення в м. Христинівка Черкаської області,411
Черкаська область,"Облаштування дитячих, спортивних майданчиків, м. Христинівка Черкаської області",80
Черкаська область,"Буріння розвідувально-експлуатаційної свердловини для господарсько-побутових потреб ФОСК “Колос” м. Городище, Городищенський район, Черкаської області","125,2"
Черкаська область,"Капітальний ремонт системи теплопостачання ЗОШ № 1 ім. С.С. Гулака-Артемовського по вул. Фізкультурній, 39в, м. Городище, Черкаської обл. (додаткова установка твердопаливних котлів)","1151,61"
Черкаська область,"Капітальний ремонт приміщень (ремонт покрівлі) Городищенської ЗОШ № 3 I-III ст. по вул. Желябова, 3, м. Городище, Черкаської області","620,29"
Черкаська область,"Реконструкція шатрового даху дитячого садка “Казка” на 140 місць в смт Катеринопіль, Черкаська обл.","687,5"
Черкаська область,Енергоефективні заходи в школі с. Вікнине Катеринопільського району Черкаської області. Капітальний ремонт: заміна вікон,"575,84"
Черкаська область,"Реконструкція існуючої котельні під теплогенераторну для опалення кінотеатру “Космос” по вул. Леніна, 2 в м. Шпола, Черкаської області","1004,56"
Черкаська область,Прибудова лікарняного ліфта на 2 зупинки до будівлі Шполянської ЦРЛ імені братів Коломійченків,835
Черкаська область,"Капітальний ремонт будівлі загальноосвітньої школи I-III ступенів № 11 за адресою: вул. Рєпіна, 47, м. Сміла Черкаської області",250
Черкаська область,"Капітальний ремонт по заміні дверей Балаклеївської амбулаторії загальної практики - сімейної медицини, с. Балаклея Смілянського району","29,507"
Черкаська область,"Капітальний ремонт частини приміщення Вереміївської лікарської амбулаторії по вулиці Анатолія Фесуна, 57 в с. Вереміївка Чорнобаївського району Черкаської області",160
Черкаська область,"Капітальний ремонт котельні з установленням твердопаливних котлів потужністю по 350 кВт в ОВТП по вулиці Соборності, 2 с. Iркліїв Чорнобаївського району Черкаської області",150
Черкаська область,"Капітальний ремонт приміщень (заміна вікон) у Чорнобаївському районному будинку культури, смт Чорнобай, вул. Центральна, 158 Чорнобаївського району Черкаської області",200
Черкаська область,Реалізація програми енергозбереження в закладах освіти Чорнобаївського району Черкаської області,400
Черкаська область,"Капітальний ремонт приміщення Чорнобаївського районного спортивного комплексу в смт Чорнобай Черкаської області по вул. Спортивній, 5",1090
Черкаська область,Придбання спортивного обладнання та інвентарю для ДЮКФП “Олімп”,199
Черкаська область,"Придбання медичного обладнання, Уманська дитяча міська лікарня",155
Чернівецька область,Чернівецька область,"72697,3"
Чернівецька область,"Капітальний ремонт дошкільного навчального закладу, с. Кам’янка Глибоцького району",1250
Чернівецька область,"Реконструкція вуличного освітлення із заміною світильників на основі ламп розжарювання, с. Сучевени Глибоцького району",190
Чернівецька область,"Капітальний ремонт системи вуличного освітлення, с. Просіка Глибоцького району",150
Чернівецька область,"Реконструкція сільського стадіону, с. Сучевени Глибоцького району",500
Чернівецька область,"Капітальний ремонт вуличного освітлення із заміною світильників на основі ламп розжарювання, с. Петричанка Глибоцького району",90
Чернівецька область,"Капітальний ремонт вуличного освітлення із заміною світильників на основі ламп розжарювання, с. Купка Глибоцького району",260
Чернівецька область,"Реконструкція системи опалення для використання відновлювальних джерел енергії Купського навчально-виховного комплексу, с. Купка Глибоцького райну","1,356,371"
Чернівецька область,"Будівництво спортивного майданчика із штучним покриттям, с. Купка Глибоцького району","645,321"
Чернівецька область,"Продовженння будівництва дошкільного навчального закладу, с. Опришени Глибоцького району",2800
Чернівецька область,"Будівництво сільського стадіону, с. Чагор Глибоцького району","68,5"
Чернівецька область,"Реконструкція вуличного освітлення із заміною світильників на основі ламп розжарювання, с. Старий Вовчинець Глибоцького району",300
Чернівецька область,"Капітальний ремонт вуличного освітлення із заміною світильників на основі ламп розжарювання, с. Карапчів Глибоцького району",250
Чернівецька область,"Будівництво спортивного майданчика із штучним покриттям для Глибоцької районної дитячо-юнацької спортивної школи по вул. Центральній, 73, смт Глибока","550,308"
Чернівецька область,"Капітальний ремонт системи вуличного освітлення, м. Герца",450
Чернівецька область,"Капітальний ремонт класних приміщень з використанням енергозберігаючих технологій в Мольницькій загальноосвітній школі I-III ступеня (заміна вікон), с. Мольниця Герцаївського району",198
Чернівецька область,"Будівництво спортивного багатофункціонального майданчика із штучним покриттям, м. Новоселиця",850
Чернівецька область,"Капітальний ремонт системи вуличного освітлення, с. Топорівка Новоселицького району",200
Чернівецька область,"Капітальний ремонт системи вуличного освітлення, с. Костичани Новоселицького району",200
Чернівецька область,"Капітальний ремонт зовнішнього фасаду Фороснянської загальноосвітньої школи I-II ступеня, с. Форосна (управління освіти Новоселицької райдержадміністрації)",200
Чернівецька область,"Будівництво спортивного багатофункціонального майданчика із штучним покриттям, с. Великий Кучерів",650
Чернівецька область,"Капітальний ремонт системи вуличного освітлення, с. Ропча Сторожинецького району",200
Чернівецька область,"Облаштування дитячого майданчика на території гімназії № 6, м. Чернівці",110
Чернівецька область,"Капітальний ремонт вуличного освітлення з встановленням енергоефективних ліхтарів, с. Іспас Вижницького району","356,7"
Чернівецька область,"Реконструкція вуличного освітлення із заміною світильників на основі ламп розжарювання на світильники на основі LED технологій, с. Черешенька Вижницького району","289,4"
Чернівецька область,"Капітальний ремонт вуличного освітлення з встановленням енергоефективних ліхтарів, м. Вижниця","539,4"
Чернівецька область,"Капітальний ремонт вуличного освітлення з встановленням енергоефективних ліхтарів, смт Берегомет Вижницького району","385,6"
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) навчально-виховного закладу “Берегометська гімназія”, смт Берегомет Вижницького району",1438
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Коритненської загальноосвітньої школи I-III ступеня, с. Коритне Вижницького району",1403
Чернівецька область,"Капітальний ремонт (заміна вікон) Вижницької гімназії, м. Вижниця","368,6"
Чернівецька область,"Капітальний ремонт (заміна вікон) Лопушнянської загальноосвітньої школи I-III ступеня, с. Лопушна Вижницького району",1109
Чернівецька область,"Капітальний ремонт (заміна вікон) Лукавецької загальноосвітньої школи I-III ступеня, с. Лукавці Вижницького району","819,3"
Чернівецька область,"Придбання комп’ютерного обладнання для Долішньо-Шепітської загальноосвітньої школи, с. Долішній Шепіт Вижницького району","145,2"
Чернівецька область,"Придбання комп’ютерного обладнання для Виженської загальноосвітньої школи, с. Виженка Вижницького району","145,2"
Чернівецька область,"Капітальний ремонт будинку культури, с. Багна Вижницького району","79,8"
Чернівецька область,"Капітальний ремонт вуличного освітлення з встановленням енергоефективних ліхтарів, м. Кіцмань",1082
Чернівецька область,"Капітальний ремонт вуличного освітлення із заміною світильників на основі ламп розжарювання на світильники на основі LED технологій по вулицях Лесі Українки, Луговій, Заводській, Яремчука, Головній, Героїв АТО, с. Шипинці Кіцманського району",625
Чернівецька область,"Капітальний ремонт вуличного освітлення із заміною світильників на основі ламп розжарювання на світильники на основі LED технологій, смт Неполоківці Кіцманського району","529,8"
Чернівецька область,"Реконструкція вуличного освітлення із заміною світильників на основі ламп розжарювання на світильники на основі LED технологій, с. Валява Кіцманський район","289,4"
Чернівецька область,"Капітальний ремонт спортивного залу Драчинецької загальноосвітньої школи, с. Драчинці Кіцманського району",280
Чернівецька область,"Капітальний ремонт санітарних вузлів Кіцманської загальноосвітньої школи, м. Кіцмань Кіцманського району","121,2"
Чернівецька область,"Капітальний ремонт (заміна вікон) Панківського навчально-виховного комплексу I-III ступеня, с. Панка Сторожинецького району",1425
Чернівецька область,Капітальний ремонт злітно-посадкової смуги комунального підприємства “Міжнародний аеропорт “Чернівці”,"18 743,4"
Чернівецька область,"Реконструкція будівлі Вижницької гімназії по вул. Українській, 92, м. Вижниця Вижницького району",1238
Чернівецька область,"Реконструкція будівлі Чудейської загальноосвітньої школи I-III ступеня по вул. Карпатській, с. Чудей Сторожинецького району",702
Чернівецька область,"Реконструкція будівлі Герцаївського дошкільного навчального закладу “Теремок” по вул. Шикули, 4, м. Герца",146
Чернівецька область,"Реконструкція будівлі Заставнівської загальноосвітньої школи I-III ступеня по вул. Незалежності, 112а, м. Заставна Заставнівського району",1453
Чернівецька область,"Реконструкція будівлі Заставнівської гімназії по вул. Гагаріна, 5, м. Заставна",780
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Банилівської загальноосвітньої школи I-III ступенів ім. Івана Діяконюка, с. Банилів Вижницького району",200
Чернівецька область,"Придбання комп’ютерного обладнання для Вашківецької загальноосвітньої школи I-III ступенів Вашківецької міської ради, м. Вашківці Вижницького району",100
Чернівецька область,"Придбання комп’ютерного обладнання, мультимедійного проектора для Мигівського навчально-виховного комплексу (ЗНЗ I-III ст. - ДНЗ), с. Мигове Вижницького району",200
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Долішньошепітського навчально-виховного комплексу (ЗНЗ I-III ст. - ДНЗ), с. Долішній Шепіт Вижницького району",200
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Берегометської загальноосвітньої школи I-III ступенів № 2, смт. Берегомет Вижницького району",176
Чернівецька область,"Капітальний ремонт спортивного залу Замостянської загальноосвітньої школи I-III ступенів, с. Замостя Вижницького району",50
Чернівецька область,"Придбання спортивного обладнання для Замостянської загальноосвітньої школи I-III ступенів, с. Замостя Вижницького району",30
Чернівецька область,"Придбання комп’ютерної техніки, мультимедійного обладнання для Замостянської загальноосвітньої школи I-III ступенів, с. Замостя Вижницького району",100
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Мілієвської загальноосвітньої школи I-III ступенів ім. Дмитра Загула, с. Мілієве Вижницького району",250
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Слобода - Банилівського навчально-виховного комплексу (ЗНЗ I-II ст. - дошкільний заклад), с. Слобода - Банилів Вижницького району",40
Чернівецька область,"Придбання комп’ютерної техніки для Слобода-Банилівського навчально-виховного комплексу (ЗНЗ I-II ст. - дошкільний заклад), с. Слобода-Банилів Вижницького району",10
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Чорногузівської загальноосвітньої школи I-III ступенів, с. Чорногузи Вижницького району",200
Чернівецька область,"Капітальний ремонт дорожнього покриття комунальних доріг, с. Багна Вижницького району",100
Чернівецька область,"Капітальний ремонт Волоцького загальноосвітнього навчального закладу-дошкільного навчального закладу Вашківецької міської ради, м. Вашківці Вижницького району",200
Чернівецька область,"Капітальний ремонт приміщення Будинку культури, с. Шипинці Кіцманського району",400
Чернівецька область,"Капітальний ремонт (класних кімнат) Кліводинського загальноосвітнього навчального закладу I-II ступенів, с. Кліводин Кіцманського району",70
Чернівецька область,"Придбання кухонного обладнання шкільної їдальні для Кліводинського загальноосвітнього навчального закладу I-II ступенів, с. Кліводин Кіцманського району",30
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Ошихлібського загальноосвітнього навчального закладу I-III ступенів, с. Ошихліби Кіцманського району",80
Чернівецька область,"Придбання комплектів меблів для Ошихлібського загальноосвітнього навчального закладу I-III ступенів, с. Ошихліби Кіцманського району",60
Чернівецька область,"Капітальний ремонт дорожнього покриття вул. Шкільна, с. Суховерхів Кіцманського району",250
Чернівецька область,"Капітальний ремонт системи опалення із заміною котлів Драчинецької амбулаторії загальної практики сімейної медицини, с. Драчинці Кіцманського району",25
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Красноїльського навчально-виховного комплексу Красноїльської селищної ради, смт. Красноїльськ Сторожинецького району",150
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Бобовецького навчально-виховного комплексу Бобовецької сільської ради, с. Бобівці Сторожинецького району",200
Чернівецька область,"Реконструкція будівлі солдатської їдальні з переобладнанням під дошкільний навчальний заклад по вул. Гвардійській, 15 в м. Сторожинець Чернівецької області",500
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Селятинської загальноосвітньої школи I-III ступенів, с. Селятин Путильського району",200
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Путильської загальноосвітньої школи I-III ступенів, смт Путила Путильського району",484
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Конятинського дошкільного навчального закладу (ясла-садок) Конятинської сільської ради, с. Конятин Путильського району",105
Чернівецька область,"Придбання комплектів меблів для Конятинського дошкільного навчального закладу (ясла-садок) Конятинської сільської ради, с. Конятин Путильського району",90
Чернівецька область,"Капітальний ремонт (заміна вікон та дверей) Киселицької загальноосвітньої школи I-III ступенів, с. Киселиці Путильського району",250
Чернівецька область,"Капітальний ремонт спортивного залу Підзахаричівського навчально-виховного комплексу “Перлина Гуцульщини”, с. Підзахаричі Путильського району",250
Чернівецька область,"Реконструкція будівлі школи-інтернату під дошкільний навчальний заклад по вул. Головній, 105 с. Колінківці Хотинського району Чернівецької області",5000
Чернівецька область,"Будівництво дитячої дошкільної установи на 160 місць в мікрорайоні Ленківці на IV провул. Вільшини, 13 у м. Чернівцях",5000
Чернівецька область,"Реконструкція будівлі Заставнівської гімназії по вул. Гагаріна, 5, м. Заставна","705,3"
Чернівецька область,"Капітальний ремонт перекриття даху будівель Дорошовецького НВК по вул. Бажанського, 11 в с. Дорошівці Заставнівського району Чернівецької області",298
Чернівецька область,Капітальний ремонт та влаштування електричного опалення у будинку народної творчості та дозвілля села Черепківці Глибоцького району,140
Чернівецька область,Будівництво загальноосвітньої школи I-III ступеню в с. Йорданешти Глибоцького району,3200
Чернівецька область,Будівництво спортивного майданчика із штучним покриттям в селі Купка Глибоцького району,600
Чернівецька область,"Капітальний ремонт приміщень комунального закладу “Герцаївський районний центр первинної медико-санітарної допомоги” в м. Герца Чернівецької області (ремонт електромережі, опалення, заміна дверей)",70
